CBG ID,snow depth,% below poverty,% civilian unemployed,% capita income,% no high school,% 65 older,% 17 younger,% household disability,% single parent household,% minority,% not well english,% multi unit,% mobile homes,% crowding,% no vehicle,% group quarters,historical requests,neighbor historical request,Lon,Lat,311_requests
3.60E+11,280.143,0.10757315,0.029508197,23291,0.217948718,0.100688468,0.2616179,0.340425532,0.605263158,0.342512909,0,0,0.090725806,0,0.229787234,0,1.563683305,0.514790112,329858,316951,206.5404475
3.60E+11,264.9453273,0.489361702,0.076738609,21240,0.261029412,0.194848824,0.217245241,0.2593361,1,0.342665174,0.016,0.036231884,0,0,0.176348548,0,0.315789474,0.230171052,331577,319732,71.66853303
3.60E+11,271.6401633,0.12289916,0,33697,0.16875,0.205882353,0.089285714,0.282692308,0,0.215336134,0,0,0,0,0.115384615,0,0.269957983,0.226554001,331272,318564,68.27731092
3.60E+11,195.429,0.450738916,0.116402116,17241,0.180851064,0.133004926,0.285714286,0.570588235,0.181034483,0.963054187,0,0,0,0,0.094117647,0,0.379310345,0.232019975,331441,324382,142.8571429
3.60E+11,181.9237748,0.112535613,0.039630119,32434,0.180469716,0.150997151,0.185185185,0.370300752,0.219895288,0.946581197,0.010542169,0,0.026277372,0.071428571,0.133458647,0,0.148148148,0.115460723,332122,324962,44.15954416
3.60E+11,191.5234773,0.229950319,0.15049505,18328,0.159436009,0.106458481,0.212916962,0.551894563,0.31358885,0.973740241,0.026354319,0,0,0.074135091,0.390444811,0.004968062,0.180269695,0.222930342,331353,323680,41.87366927
3.60E+11,195.818449,0.211948791,0.028571429,22564,0.191919192,0.109219858,0.338297872,0.201267829,0.861904762,0.987943262,0.036021926,0.042674253,0,0,0.350237718,0.00212766,0.134042553,0.184772738,331759,324183,39.71631206
3.60E+11,196.6139436,0.536420102,0.105968331,17143,0.114837398,0.068012752,0.306057386,0.421974522,1,0.858129649,0.029034059,0,0,0.049363057,0.25955414,0.005844846,0.074920298,0.131359631,332106,324407,29.22422954
3.60E+11,170.0029764,0.456452638,0.055258467,13533,0.170967742,0.086404066,0.367217281,0.225746269,0.863888889,0.99047014,0.06028076,0.075983718,0,0,0.220149254,0,0.148030496,0.174213907,330955,325028,36.21346887
3.60E+11,154.991385,0.465135357,0.06284153,17774,0.428057554,0.163248564,0.247744053,0.341232227,0.394736842,0.919606235,0.061036789,0.136912752,0,0.014218009,0.447077409,0.007383101,0.141099262,0.164255281,330142,325798,44.29860541
