CodeELSTAT,X,Y,UnemrT01,PrSect01,Foreig01,Income01
101,616259.0078,4551127.241,5.221281,21.817852,1.99678,10969.31526
102,644783.1356,4561364.036,2.15424,92.912436,0.038337,6398.641486
103,602100.9505,4555689.138,6.06239,70.206767,1.339977,6608.897469
104,633712.4684,4539548.49,7.421934,57.748085,0.890172,6700.375345
201,517831.1952,4572544.478,10.851115,7.298838,2.961633,11299.1065
202,520765.0183,4546140.726,12.1437,28.412363,2.552864,8113.734335
203,493796.6141,4579728.783,10.526316,49.159664,2.688983,7540.976656
204,539592.2192,4576418.248,6.967742,42.787795,2.463825,8254.78138
205,494941.0509,4558948.898,9.922417,37.692656,1.326379,7677.032664
301,666407.9782,4532034.456,4.028502,13.235721,1.663541,12802.25257
302,699654.5472,4586081.779,3.746435,37.69697,0.598828,8636.939034
303,695504.8684,4606754.219,3.685218,38.823028,0.739066,9259.577454
304,634234.5661,4479074.076,2.719665,44.731183,1.991885,8854.808951
305,680650.4488,4561751.045,5.143796,44.698545,0.695308,8843.261472
401,555039.3646,4503748.792,13.36772,22.823121,8.088618,8780.451519
501,533790.2989,4539849.781,7.838207,5.374961,4.665301,12089.54695
502,553463.068,4542221.518,3.719812,37.303852,4.091277,8888.786526
503,511000.6091,4521960.734,4.639262,38.083927,6.225509,8481.42276
601,564081.5156,4561913.781,9.030693,6.445493,2.284376,11165.63211
602,583278.6024,4543942.096,9.019054,40.009308,1.664659,10893.7626
603,580377.6223,4570927.151,6.188313,62.992652,0.062147,6619.932397
604,567936.8135,4540439.215,5.673624,58.076846,1.317189,6502.769207
701,411331.9399,4497210.237,6.336333,0.834415,7.200951,13388.72461
702,406156.7494,4500931.098,8.424908,1.159091,5.934958,10295.34887
703,456817.6736,4504633.38,3.714694,34.664993,8.65707,8698.950125
704,393727.7869,4497183.376,6.984719,20.658431,7.347162,10747.37596
705,408649.0537,4476297.127,6.422553,12.182284,9.349243,12023.81937
706,421910.0481,4482180.694,4.653253,12.871646,6.90266,13924.64678
707,411591.3485,4492223.766,5.61862,1.480707,2.722651,14271.7255
708,407183.8997,4503105.539,8.085858,1.218122,4.815093,11223.7544
709,432839.3761,4513918.026,5.003381,25.957295,4.382022,8828.002975
710,413237.7664,4500333.972,7.19091,0.847579,6.62604,11302.21566
711,411409.9585,4503704.985,8.363331,1.154857,4.978021,10877.61932
712,419991.7086,4496150.027,5.505411,1.590318,4.493009,16570.16322
713,386412.0358,4510880.105,5.720858,25.421061,6.040992,9257.263138
714,407624.9214,4512600.709,5.573834,9.59213,6.001122,14228.96901
801,346322.6825,4482415.229,6.182881,20.292905,3.314757,9969.430572
802,369805.5917,4494577.006,5.586524,43.03042,3.628457,9367.845149
803,335198.0106,4499546.921,8.377709,30.067125,2.637279,9065.74985
901,407483.3785,4543639.282,9.631886,20.39555,4.023818,9872.956088
902,374820.3888,4539620.361,7.934726,31.595236,3.725453,8615.250773
1001,325153.234,4518130.248,6.03052,29.397378,3.013393,10328.83057
1002,338365.7319,4542061.678,3.489908,56.606724,2.303796,7842.985808
1003,362969.3523,4517380.853,4.551818,42.931896,5.799806,8963.729293
1004,345429.3072,4518738.063,5.106582,52.172303,5.183398,7700.217079
1101,361513.8507,4459643.226,6.279391,24.652368,4.472027,9404.901993
1102,370512.4662,4440504.41,3.885847,40.024104,5.276178,9307.385836
1103,373893.635,4477864.546,3.063895,48.856417,6.780155,7992.93997
1201,461644.3669,4553002.36,7.700063,15.660427,1.907888,8838.624722
1202,495104.3158,4528006.08,7.249525,47.0726,2.344013,7009.9788
1203,463350.695,4526707.197,6.528736,58.607969,3.03135,7945.20396
1204,473064.0439,4544445.808,3.767865,47.674767,1.753005,7103.904861
1205,440293.8703,4552489.761,5.585205,54.581307,1.10597,7702.959498
1206,488312.5038,4540833.423,5.407035,57.756056,2.765511,7219.935905
1207,438558.375,4570091.918,6.496654,38.775762,1.760782,7986.308061
1301,451435.7366,4472526.685,4.256553,33.918837,6.657243,9985.949665
1302,476424.0569,4481138.308,7.758919,19.057454,3.610861,9949.272583
1303,455782.9529,4429117.614,8.665065,15.64907,18.517776,9232.707133
1304,432385.8529,4462870.807,4.560742,27.202407,8.846268,9842.416491
1305,485197.5132,4441737.278,13.127499,31.296344,6.229869,8227.782136
1401,315823.8205,4464448.984,7.167602,9.428216,2.352673,12772.15574
1402,275708.35,4462437.82,14.533122,28.368794,3.024963,8226.640394
1403,306542.5944,4487987.89,5.398406,6.843546,2.034241,13043.96637
1404,327429.9342,4447105.137,8.795203,30.543933,2.228995,8733.883025
1501,274992.5862,4435876.864,5.015233,27.572169,2.966533,9237.032366
1502,305934.7605,4422733.935,4.398241,53.617733,2.285309,8891.511834
1601,267551.3563,4493552.753,15.764364,17.261758,3.927859,9911.50949
1602,242745.0598,4472831.897,18.286311,37.212276,6.263982,7677.617968
1603,268376.8915,4476954.893,16.689682,23.277291,4.065584,8545.609766
1701,287672.2298,4519491.008,5.158126,21.718973,3.358342,11556.60835
1702,299919.2117,4505123.511,6.147473,30.949859,3.845944,8947.602528
1703,257082.6792,4515666.26,7.200811,64.480874,14.74122,7037.584312
1801,232600.1509,4392525.388,5.829585,5.275029,4.739134,11747.25789
1802,247093.9393,4381361.927,5.308964,23.253676,0.963082,10024.73099
1803,222163.9366,4373820.742,7.464694,29.723837,1.421484,10163.27257
1804,233068.2561,4418997.163,7.826087,41.352201,4.76081,7449.295834
1805,211499.5041,4399004.59,2.922515,25.292137,3.812906,9906.743471
1806,229610.4032,4448349.951,4.463895,28.17224,6.746862,8421.408087
1807,254641.7779,4406324.734,5.960549,24.122207,3.023547,8782.155674
1808,201408.3028,4424443.73,5.726141,36.839789,12.317792,7960.399667
1901,235805.2859,4342319.289,3.897883,25.113386,2.945441,11396.16836
1902,262373.308,4345164.506,5.148515,52.922756,0.617024,6108.573218
1903,254509.3394,4362769.918,6.339235,24.695122,0.8522,7092.552025
1904,244770.5965,4334916.453,3.578084,48.589099,3.954178,11157.84655
2001,185371.3779,4370813.657,6.710119,18.9669,6.373809,11206.06168
2002,201267.6873,4371756.292,2.809278,38.636966,2.206378,8272.693788
2003,186276.6364,4395787.708,3.49345,45.666551,8.534976,8712.479825
2101,215148.7859,4337503.292,5.191048,23.579571,7.017951,11996.39812
2102,227356.6502,4352695.627,5.798817,30.988275,4.023361,9436.025072
2103,200427.7392,4351193.674,7.525326,48.379164,5.834723,7978.206235
2201,356994.891,4386799.438,5.139822,7.244547,4.265624,11793.21224
2202,392804.5145,4396006.158,2.975472,56.900124,4.862805,7415.7966
2203,341887.0905,4423111.927,2.935138,53.68586,3.13649,7601.731706
2204,372037.4741,4375404.231,2.143295,55.736337,5.752894,8939.464373
2205,375583.4188,4410975.943,2.118423,44.190172,5.376344,8129.73061
2206,353888.8763,4403118.781,3.471041,43.202073,7.524262,8242.186064
2207,365141.8848,4351505.774,2.276065,56.198347,8.021119,8531.132636
2301,317485.2222,4348717.705,4.704569,21.224781,1.918058,10535.62227
2302,282999.8333,4352030.342,5.874317,59.071118,0.321543,6048.887084
2303,303815.8969,4352634.032,2.96846,34.608031,1.317752,6561.738552
2304,303244.2873,4364241.095,3.575593,49.516324,1.43841,7319.147599
2305,334724.5939,4370966.897,2.759719,68.631464,2.762162,7079.01195
2306,334613.726,4344556.121,4.11999,66.130079,2.70233,7714.695626
2401,405783.6401,4356716.648,6.254473,6.68381,4.551465,11928.75648
2402,391137.1639,4330186.279,6.480118,38.639943,9.47912,8859.143656
2403,422193.9146,4365181.879,3.290469,63.47282,5.473717,6748.683511
2404,431496.0475,4342670.285,4.530499,48.806999,8.990228,7329.73737
2405,397445.494,4365538.04,3.769705,42.735043,4.345621,9705.812326
2501,453041.0166,4335209.911,8.889912,6.319515,18.693849,10289.08329
2502,499750.2865,4343700.339,4.280618,22.484472,17.443299,10429.89241
2503,473140.407,4330834.262,8.684381,12.420156,10.773481,10073.25641
2601,308575.168,4386748.36,6.216358,19.500245,2.803964,10269.97191
2602,286804.2984,4400933.408,6.173946,39.303754,1.872839,8504.131187
2603,279522.6601,4373006.265,6.238922,42.079395,1.611482,10106.06275
2604,330655.132,4385416.141,3.698939,61.155645,2.312979,9863.021507
2701,358193.1821,4302932.332,4.671632,15.288577,5.886121,12371.65377
2702,384549.0106,4277842.424,2.691425,42.602916,10.641892,9387.335884
2703,354910.3021,4329789.854,1.793052,68.01065,6.492916,7590.490634
2704,420458.8889,4274565.216,3.33713,39.224697,9.309483,10698.17858
2705,329870.8713,4309527.397,1.926851,32.363107,5.264627,8754.512875
2706,389547.0058,4290056.973,5.46305,36.097368,14.233419,9073.853801
2707,389618.7418,4312247.252,4.549401,44.260506,9.116022,9093.900799
2801,398162.1877,4251822.826,5.685698,16.864528,5.19424,11092.95138
2802,420395.6408,4246046.475,7.832546,36.605617,10.037652,9580.809008
2803,381163.0711,4257385.055,5.629669,8.396947,9.498062,15628.57571
2804,430349.5495,4239342.162,6.219839,24.949971,10.275453,10865.36926
2805,421693.5428,4260550.723,5.144108,51.096154,6.852363,10835.45922
2806,458828.5752,4234890.795,3.674933,25.041356,19.157686,11230.95668
2901,461698.5394,4255616.504,4.585775,7.864911,5.642833,13130.02066
2902,475117.2975,4273465.589,3.600497,30.266171,5.997017,9594.79381
2903,488888.4837,4255987.967,6.386438,12.056562,7.177934,10771.5825
2904,426672.0888,4308466.122,5.559189,32.202216,4.161395,8926.201158
2905,532549.5381,4216951.754,6.866417,32.841823,6.345588,9704.660134
2906,506290.5169,4259610.614,5.14449,16.761522,5.082042,11916.71561
2907,449543.0401,4294906.473,14.869029,19.215686,1.499305,8762.927768
2908,547533.2209,4301334.988,5.405405,17.692308,4.315751,11236.55934
3001,306353.6946,4305264.773,6.770335,15.550423,2.328034,11146.90101
3002,290463.8088,4327590.106,3.399433,51.948052,2.739917,7051.83592
3101,359123.8113,4268379.67,6.068487,14.317028,7.213248,11307.65866
3102,334815.0237,4264910.711,6.448413,26.758572,5.821225,8862.16138
3201,142498.4242,4395933.782,12.317644,15.523418,8.276884,11126.87331
3202,169499.5192,4345205.257,6.615215,25.029516,12.927131,8981.63753
3301,215856.1381,4186377.647,10.41782,28.121995,13.219145,9988.949414
3401,214395.4589,4255471.734,7.630162,21.865889,10.180573,10848.91339
3501,200424.9307,4236065.251,8.164604,16.531286,9.315655,10762.93698
3601,210476.1753,4288271.635,3.698704,20.297168,6.868,11070.81183
3602,218558.4469,4282452.952,3.076923,29.62963,3.31992,8399.15
3701,306893.7829,4231791.771,8.493895,2.567481,5.301864,12699.73293
3702,336868.1974,4224117.914,5.828548,26.769912,7.423719,10101.16535
3703,282184.9414,4215825.527,11.03574,41.800387,6.349635,8667.022944
3704,303901.8209,4210591.994,10.044702,42.385267,1.315209,6722.157048
3705,328520.3023,4202990.401,6.671484,37.23871,2.717079,7753.584266
3801,266219.8268,4255421.243,4.729155,40.660232,4.130708,9101.784044
3802,235198.0725,4301252.475,3.294009,52.281369,3.97829,7343.168771
3803,278365.0256,4281061.112,4.965232,29.615408,2.318117,10180.43108
3804,264641.3619,4315185.377,3.109183,50.880597,2.357132,7407.616034
3805,298995.7713,4274243.178,6.319046,40.04717,2.284037,7101.793614
3806,310348.1177,4266799.276,5.982206,16.361599,5.681818,10082.5818
3807,248379.458,4278493.602,3.381548,67.8333,2.672556,7435.687056
3901,278370.4522,4175934.555,6.564108,26.050272,4.502847,10513.65213
3902,275492.5793,4190283.039,9.316298,32.053002,6.042729,9537.223848
3903,264870.8948,4204570.69,8.367845,44.060725,10.791309,8922.910571
3904,303387.857,4157685.388,6.25966,43.198681,2.37487,7529.754975
3905,299134.9998,4181415.591,5.796229,41.260379,3.481225,7360.044866
3906,298682.7547,4148675.919,8.525093,42.81265,7.771945,8561.815567
3907,258544.1069,4194240.63,9.623993,38.35232,6.597823,8745.057899
4001,353668.3072,4155043.02,4.612804,17.467761,5.205073,12663.68289
4002,379857.1267,4134958.913,4.726811,33.688984,3.115023,8687.94206
4003,324094.7229,4171882.991,4.392846,33.86938,1.953719,7934.747765
